starting job
Sun Dec  7 20:04:44 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:4C:00.0 Off |                   On |
| N/A   34C    P0            350W /  700W |   21810MiB /  81559MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |              Shared Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                Shared BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0   10   0   0  |              15MiB /  9984MiB    | 16      0 |  1   0    1    0    1 |
|                  |               0MiB /  6185MiB    |           |                       |
+------------------+----------------------------------+-----------+-----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Running seed 11
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Seed 11 | Episode 0 | Reward -300.00 | Epsilon 0.9987
Seed 11 | Episode 1 | Reward -300.00 | Epsilon 0.9897
Seed 11 | Episode 2 | Reward -300.00 | Epsilon 0.9808
Seed 11 | Episode 3 | Reward -300.00 | Epsilon 0.9720
Seed 11 | Episode 4 | Reward -300.00 | Epsilon 0.9633
Seed 11 | Episode 5 | Reward -300.00 | Epsilon 0.9547
Seed 11 | Episode 6 | Reward -300.00 | Epsilon 0.9462
Seed 11 | Episode 7 | Reward -300.00 | Epsilon 0.9377
Seed 11 | Episode 8 | Reward -300.00 | Epsilon 0.9293
Seed 11 | Episode 9 | Reward 58.00 | Epsilon 0.9281
Seed 11 | Episode 10 | Reward -300.00 | Epsilon 0.9198
Seed 11 | Episode 11 | Reward -300.00 | Epsilon 0.9115
Seed 11 | Episode 12 | Reward -300.00 | Epsilon 0.9034
Seed 11 | Episode 13 | Reward -300.00 | Epsilon 0.8953
Seed 11 | Episode 14 | Reward -300.00 | Epsilon 0.8872
Seed 11 | Episode 15 | Reward -300.00 | Epsilon 0.8793
Seed 11 | Episode 16 | Reward -300.00 | Epsilon 0.8714
Seed 11 | Episode 17 | Reward -300.00 | Epsilon 0.8636
Seed 11 | Episode 18 | Reward -300.00 | Epsilon 0.8559
Seed 11 | Episode 19 | Reward -300.00 | Epsilon 0.8482
Seed 11 | Episode 20 | Reward -300.00 | Epsilon 0.8406
Seed 11 | Episode 21 | Reward -300.00 | Epsilon 0.8331
Seed 11 | Episode 22 | Reward -300.00 | Epsilon 0.8256
Seed 11 | Episode 23 | Reward -300.00 | Epsilon 0.8182
Seed 11 | Episode 24 | Reward -300.00 | Epsilon 0.8109
Seed 11 | Episode 25 | Reward -300.00 | Epsilon 0.8036
Seed 11 | Episode 26 | Reward -300.00 | Epsilon 0.7964
Seed 11 | Episode 27 | Reward -300.00 | Epsilon 0.7893
Seed 11 | Episode 28 | Reward -300.00 | Epsilon 0.7822
Seed 11 | Episode 29 | Reward -300.00 | Epsilon 0.7752
Seed 11 | Episode 30 | Reward -300.00 | Epsilon 0.7682
Seed 11 | Episode 31 | Reward -300.00 | Epsilon 0.7614
Seed 11 | Episode 32 | Reward -300.00 | Epsilon 0.7545
Seed 11 | Episode 33 | Reward -300.00 | Epsilon 0.7478
Seed 11 | Episode 34 | Reward -300.00 | Epsilon 0.7411
Seed 11 | Episode 35 | Reward -300.00 | Epsilon 0.7344
Seed 11 | Episode 36 | Reward -300.00 | Epsilon 0.7279
Seed 11 | Episode 37 | Reward -300.00 | Epsilon 0.7213
Seed 11 | Episode 38 | Reward -300.00 | Epsilon 0.7149
Seed 11 | Episode 39 | Reward -300.00 | Epsilon 0.7085
Seed 11 | Episode 40 | Reward -300.00 | Epsilon 0.7021
Seed 11 | Episode 41 | Reward -300.00 | Epsilon 0.6958
Seed 11 | Episode 42 | Reward -300.00 | Epsilon 0.6896
Seed 11 | Episode 43 | Reward -300.00 | Epsilon 0.6834
Seed 11 | Episode 44 | Reward -300.00 | Epsilon 0.6773
Seed 11 | Episode 45 | Reward -300.00 | Epsilon 0.6712
Seed 11 | Episode 46 | Reward -300.00 | Epsilon 0.6652
Seed 11 | Episode 47 | Reward -300.00 | Epsilon 0.6593
Seed 11 | Episode 48 | Reward -300.00 | Epsilon 0.6533
Seed 11 | Episode 49 | Reward -122.00 | Epsilon 0.6490
Seed 11 | Episode 50 | Reward -300.00 | Epsilon 0.6432
Seed 11 | Episode 51 | Reward -300.00 | Epsilon 0.6374
Seed 11 | Episode 52 | Reward -300.00 | Epsilon 0.6317
Seed 11 | Episode 53 | Reward -300.00 | Epsilon 0.6260
Seed 11 | Episode 54 | Reward -300.00 | Epsilon 0.6204
Seed 11 | Episode 55 | Reward -300.00 | Epsilon 0.6149
Seed 11 | Episode 56 | Reward -300.00 | Epsilon 0.6094
Seed 11 | Episode 57 | Reward -300.00 | Epsilon 0.6039
Seed 11 | Episode 58 | Reward -300.00 | Epsilon 0.5985
Seed 11 | Episode 59 | Reward -300.00 | Epsilon 0.5931
Seed 11 | Episode 60 | Reward -300.00 | Epsilon 0.5878
Seed 11 | Episode 61 | Reward -300.00 | Epsilon 0.5826
Seed 11 | Episode 62 | Reward -46.00 | Epsilon 0.5800
Seed 11 | Episode 63 | Reward -300.00 | Epsilon 0.5748
Seed 11 | Episode 64 | Reward -300.00 | Epsilon 0.5696
Seed 11 | Episode 65 | Reward -300.00 | Epsilon 0.5645
Seed 11 | Episode 66 | Reward -300.00 | Epsilon 0.5595
Seed 11 | Episode 67 | Reward -300.00 | Epsilon 0.5545
Seed 11 | Episode 68 | Reward 45.00 | Epsilon 0.5535
Seed 11 | Episode 69 | Reward -54.00 | Epsilon 0.5510
Seed 11 | Episode 70 | Reward -300.00 | Epsilon 0.5460
Seed 11 | Episode 71 | Reward -300.00 | Epsilon 0.5411
Seed 11 | Episode 72 | Reward -300.00 | Epsilon 0.5363
Seed 11 | Episode 73 | Reward -300.00 | Epsilon 0.5315
Seed 11 | Episode 74 | Reward -300.00 | Epsilon 0.5267
Seed 11 | Episode 75 | Reward 47.00 | Epsilon 0.5259
Seed 11 | Episode 76 | Reward -300.00 | Epsilon 0.5212
Seed 11 | Episode 77 | Reward -300.00 | Epsilon 0.5165
Seed 11 | Episode 78 | Reward -153.00 | Epsilon 0.5126
Seed 11 | Episode 79 | Reward -300.00 | Epsilon 0.5080
Seed 11 | Episode 80 | Reward -191.00 | Epsilon 0.5035
Seed 11 | Episode 81 | Reward -300.00 | Epsilon 0.4990
Seed 11 | Episode 82 | Reward -184.00 | Epsilon 0.4948
Seed 11 | Episode 83 | Reward -79.00 | Epsilon 0.4921
Seed 11 | Episode 84 | Reward -80.00 | Epsilon 0.4895
Seed 11 | Episode 85 | Reward -101.00 | Epsilon 0.4865
Seed 11 | Episode 86 | Reward -300.00 | Epsilon 0.4821
Seed 11 | Episode 87 | Reward -199.00 | Epsilon 0.4778
Seed 11 | Episode 88 | Reward -172.00 | Epsilon 0.4739
Seed 11 | Episode 89 | Reward -300.00 | Epsilon 0.4697
Seed 11 | Episode 90 | Reward -300.00 | Epsilon 0.4655
Seed 11 | Episode 91 | Reward -30.00 | Epsilon 0.4636
Seed 11 | Episode 92 | Reward -300.00 | Epsilon 0.4595
Seed 11 | Episode 93 | Reward -300.00 | Epsilon 0.4554
