starting job
Sun Dec  7 19:38:00 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:4C:00.0 Off |                   On |
| N/A   40C    P0            445W /  700W |   36270MiB /  81559MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |              Shared Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                Shared BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0    9   0   0  |              15MiB /  9984MiB    | 16      0 |  1   0    1    0    1 |
|                  |               0MiB /  6185MiB    |           |                       |
+------------------+----------------------------------+-----------+-----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Running seed 1
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Seed 1 | Episode 0 | Reward -300.00 | Epsilon 0.9987
Seed 1 | Episode 1 | Reward -300.00 | Epsilon 0.9897
Seed 1 | Episode 2 | Reward -300.00 | Epsilon 0.9808
Seed 1 | Episode 3 | Reward -300.00 | Epsilon 0.9720
Seed 1 | Episode 4 | Reward -300.00 | Epsilon 0.9633
Seed 1 | Episode 5 | Reward -300.00 | Epsilon 0.9547
Seed 1 | Episode 6 | Reward -300.00 | Epsilon 0.9462
Seed 1 | Episode 7 | Reward -300.00 | Epsilon 0.9377
Seed 1 | Episode 8 | Reward -300.00 | Epsilon 0.9293
Seed 1 | Episode 9 | Reward -300.00 | Epsilon 0.9209
Seed 1 | Episode 10 | Reward -300.00 | Epsilon 0.9127
Seed 1 | Episode 11 | Reward -300.00 | Epsilon 0.9045
Seed 1 | Episode 12 | Reward -34.00 | Epsilon 0.9009
Seed 1 | Episode 13 | Reward -300.00 | Epsilon 0.8928
Seed 1 | Episode 14 | Reward -300.00 | Epsilon 0.8848
Seed 1 | Episode 15 | Reward -300.00 | Epsilon 0.8769
Seed 1 | Episode 16 | Reward -300.00 | Epsilon 0.8690
Seed 1 | Episode 17 | Reward -300.00 | Epsilon 0.8612
Seed 1 | Episode 18 | Reward -300.00 | Epsilon 0.8535
Seed 1 | Episode 19 | Reward -300.00 | Epsilon 0.8459
Seed 1 | Episode 20 | Reward -300.00 | Epsilon 0.8383
Seed 1 | Episode 21 | Reward -300.00 | Epsilon 0.8308
Seed 1 | Episode 22 | Reward -300.00 | Epsilon 0.8233
Seed 1 | Episode 23 | Reward -300.00 | Epsilon 0.8159
Seed 1 | Episode 24 | Reward -300.00 | Epsilon 0.8086
Seed 1 | Episode 25 | Reward -300.00 | Epsilon 0.8014
Seed 1 | Episode 26 | Reward -300.00 | Epsilon 0.7942
Seed 1 | Episode 27 | Reward -300.00 | Epsilon 0.7871
Seed 1 | Episode 28 | Reward -300.00 | Epsilon 0.7800
Seed 1 | Episode 29 | Reward 48.00 | Epsilon 0.7788
Seed 1 | Episode 30 | Reward -300.00 | Epsilon 0.7718
Seed 1 | Episode 31 | Reward -300.00 | Epsilon 0.7649
Seed 1 | Episode 32 | Reward -300.00 | Epsilon 0.7581
Seed 1 | Episode 33 | Reward -300.00 | Epsilon 0.7513
Seed 1 | Episode 34 | Reward -300.00 | Epsilon 0.7445
Seed 1 | Episode 35 | Reward -300.00 | Epsilon 0.7379
Seed 1 | Episode 36 | Reward -300.00 | Epsilon 0.7313
Seed 1 | Episode 37 | Reward -300.00 | Epsilon 0.7247
Seed 1 | Episode 38 | Reward -300.00 | Epsilon 0.7182
Seed 1 | Episode 39 | Reward -300.00 | Epsilon 0.7118
Seed 1 | Episode 40 | Reward -300.00 | Epsilon 0.7054
Seed 1 | Episode 41 | Reward -300.00 | Epsilon 0.6991
Seed 1 | Episode 42 | Reward -300.00 | Epsilon 0.6928
Seed 1 | Episode 43 | Reward -300.00 | Epsilon 0.6866
Seed 1 | Episode 44 | Reward -300.00 | Epsilon 0.6805
Seed 1 | Episode 45 | Reward -300.00 | Epsilon 0.6744
Seed 1 | Episode 46 | Reward -300.00 | Epsilon 0.6683
Seed 1 | Episode 47 | Reward -300.00 | Epsilon 0.6623
Seed 1 | Episode 48 | Reward -300.00 | Epsilon 0.6564
Seed 1 | Episode 49 | Reward -300.00 | Epsilon 0.6505
Seed 1 | Episode 50 | Reward -300.00 | Epsilon 0.6447
Seed 1 | Episode 51 | Reward -300.00 | Epsilon 0.6389
Seed 1 | Episode 52 | Reward -300.00 | Epsilon 0.6332
Seed 1 | Episode 53 | Reward -300.00 | Epsilon 0.6275
Seed 1 | Episode 54 | Reward -300.00 | Epsilon 0.6219
Seed 1 | Episode 55 | Reward -300.00 | Epsilon 0.6163
Seed 1 | Episode 56 | Reward -300.00 | Epsilon 0.6108
Seed 1 | Episode 57 | Reward -300.00 | Epsilon 0.6053
Seed 1 | Episode 58 | Reward -300.00 | Epsilon 0.5999
