starting job
Sun Dec  7 19:44:34 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:06:00.0 Off |                   On |
| N/A   24C    P0             68W /  700W |     167MiB /  81559MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |              Shared Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                Shared BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0    9   0   0  |              15MiB /  9984MiB    | 16      0 |  1   0    1    0    1 |
|                  |               0MiB /  6185MiB    |           |                       |
+------------------+----------------------------------+-----------+-----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Running seed 6
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Seed 6 | Episode 0 | Reward -300.00 | Epsilon 0.9987
Seed 6 | Episode 1 | Reward -300.00 | Epsilon 0.9897
Seed 6 | Episode 2 | Reward 53.00 | Epsilon 0.9883
Seed 6 | Episode 3 | Reward -300.00 | Epsilon 0.9794
Seed 6 | Episode 4 | Reward -300.00 | Epsilon 0.9706
Seed 6 | Episode 5 | Reward -300.00 | Epsilon 0.9620
Seed 6 | Episode 6 | Reward -300.00 | Epsilon 0.9533
Seed 6 | Episode 7 | Reward -300.00 | Epsilon 0.9448
Seed 6 | Episode 8 | Reward -300.00 | Epsilon 0.9363
Seed 6 | Episode 9 | Reward -300.00 | Epsilon 0.9279
Seed 6 | Episode 10 | Reward -300.00 | Epsilon 0.9196
Seed 6 | Episode 11 | Reward -300.00 | Epsilon 0.9114
Seed 6 | Episode 12 | Reward -300.00 | Epsilon 0.9032
Seed 6 | Episode 13 | Reward -300.00 | Epsilon 0.8951
Seed 6 | Episode 14 | Reward -300.00 | Epsilon 0.8871
Seed 6 | Episode 15 | Reward -300.00 | Epsilon 0.8792
Seed 6 | Episode 16 | Reward -300.00 | Epsilon 0.8713
Seed 6 | Episode 17 | Reward -300.00 | Epsilon 0.8635
Seed 6 | Episode 18 | Reward -300.00 | Epsilon 0.8557
Seed 6 | Episode 19 | Reward -300.00 | Epsilon 0.8481
Seed 6 | Episode 20 | Reward -300.00 | Epsilon 0.8405
Seed 6 | Episode 21 | Reward -300.00 | Epsilon 0.8329
Seed 6 | Episode 22 | Reward -300.00 | Epsilon 0.8255
Seed 6 | Episode 23 | Reward -300.00 | Epsilon 0.8181
Seed 6 | Episode 24 | Reward -300.00 | Epsilon 0.8108
Seed 6 | Episode 25 | Reward -300.00 | Epsilon 0.8035
Seed 6 | Episode 26 | Reward -300.00 | Epsilon 0.7963
Seed 6 | Episode 27 | Reward -300.00 | Epsilon 0.7892
Seed 6 | Episode 28 | Reward -300.00 | Epsilon 0.7821
Seed 6 | Episode 29 | Reward -300.00 | Epsilon 0.7751
Seed 6 | Episode 30 | Reward -300.00 | Epsilon 0.7681
Seed 6 | Episode 31 | Reward -300.00 | Epsilon 0.7612
Seed 6 | Episode 32 | Reward -300.00 | Epsilon 0.7544
Seed 6 | Episode 33 | Reward -300.00 | Epsilon 0.7477
Seed 6 | Episode 34 | Reward -300.00 | Epsilon 0.7410
Seed 6 | Episode 35 | Reward -300.00 | Epsilon 0.7343
Seed 6 | Episode 36 | Reward -300.00 | Epsilon 0.7278
Seed 6 | Episode 37 | Reward -300.00 | Epsilon 0.7212
Seed 6 | Episode 38 | Reward -300.00 | Epsilon 0.7148
Seed 6 | Episode 39 | Reward -300.00 | Epsilon 0.7084
Seed 6 | Episode 40 | Reward -300.00 | Epsilon 0.7020
Seed 6 | Episode 41 | Reward -300.00 | Epsilon 0.6957
Seed 6 | Episode 42 | Reward -300.00 | Epsilon 0.6895
Seed 6 | Episode 43 | Reward -300.00 | Epsilon 0.6833
Seed 6 | Episode 44 | Reward -300.00 | Epsilon 0.6772
Seed 6 | Episode 45 | Reward -300.00 | Epsilon 0.6711
Seed 6 | Episode 46 | Reward -300.00 | Epsilon 0.6651
Seed 6 | Episode 47 | Reward -300.00 | Epsilon 0.6592
Seed 6 | Episode 48 | Reward -300.00 | Epsilon 0.6532
Seed 6 | Episode 49 | Reward -300.00 | Epsilon 0.6474
Seed 6 | Episode 50 | Reward -300.00 | Epsilon 0.6416
Seed 6 | Episode 51 | Reward -300.00 | Epsilon 0.6358
Seed 6 | Episode 52 | Reward -300.00 | Epsilon 0.6302
Seed 6 | Episode 53 | Reward -300.00 | Epsilon 0.6245
Seed 6 | Episode 54 | Reward -300.00 | Epsilon 0.6189
Seed 6 | Episode 55 | Reward -300.00 | Epsilon 0.6134
Seed 6 | Episode 56 | Reward -300.00 | Epsilon 0.6079
Seed 6 | Episode 57 | Reward -300.00 | Epsilon 0.6024
Seed 6 | Episode 58 | Reward -300.00 | Epsilon 0.5970
Seed 6 | Episode 59 | Reward -300.00 | Epsilon 0.5917
Seed 6 | Episode 60 | Reward -300.00 | Epsilon 0.5864
Seed 6 | Episode 61 | Reward -300.00 | Epsilon 0.5811
Seed 6 | Episode 62 | Reward -300.00 | Epsilon 0.5759
Seed 6 | Episode 63 | Reward -300.00 | Epsilon 0.5708
Seed 6 | Episode 64 | Reward -300.00 | Epsilon 0.5656
Seed 6 | Episode 65 | Reward -300.00 | Epsilon 0.5606
Seed 6 | Episode 66 | Reward -300.00 | Epsilon 0.5555
Seed 6 | Episode 67 | Reward -300.00 | Epsilon 0.5506
Seed 6 | Episode 68 | Reward -300.00 | Epsilon 0.5456
Seed 6 | Episode 69 | Reward -300.00 | Epsilon 0.5407
Seed 6 | Episode 70 | Reward -300.00 | Epsilon 0.5359
Seed 6 | Episode 71 | Reward -300.00 | Epsilon 0.5311
Seed 6 | Episode 72 | Reward -300.00 | Epsilon 0.5263
Seed 6 | Episode 73 | Reward -300.00 | Epsilon 0.5216
Seed 6 | Episode 74 | Reward -300.00 | Epsilon 0.5170
Seed 6 | Episode 75 | Reward -300.00 | Epsilon 0.5123
Seed 6 | Episode 76 | Reward -300.00 | Epsilon 0.5077
Seed 6 | Episode 77 | Reward -300.00 | Epsilon 0.5032
Seed 6 | Episode 78 | Reward -300.00 | Epsilon 0.4987
Seed 6 | Episode 79 | Reward -300.00 | Epsilon 0.4942
Seed 6 | Episode 80 | Reward -300.00 | Epsilon 0.4898
Seed 6 | Episode 81 | Reward -300.00 | Epsilon 0.4854
Seed 6 | Episode 82 | Reward -300.00 | Epsilon 0.4810
Seed 6 | Episode 83 | Reward -300.00 | Epsilon 0.4767
Seed 6 | Episode 84 | Reward -300.00 | Epsilon 0.4725
Seed 6 | Episode 85 | Reward -300.00 | Epsilon 0.4682
Seed 6 | Episode 86 | Reward -300.00 | Epsilon 0.4640
Seed 6 | Episode 87 | Reward -300.00 | Epsilon 0.4599
Seed 6 | Episode 88 | Reward -300.00 | Epsilon 0.4558
Seed 6 | Episode 89 | Reward -300.00 | Epsilon 0.4517
Seed 6 | Episode 90 | Reward -300.00 | Epsilon 0.4476
Seed 6 | Episode 91 | Reward -300.00 | Epsilon 0.4436
Seed 6 | Episode 92 | Reward -300.00 | Epsilon 0.4396
Seed 6 | Episode 93 | Reward -300.00 | Epsilon 0.4357
Seed 6 | Episode 94 | Reward -300.00 | Epsilon 0.4318
Seed 6 | Episode 95 | Reward -300.00 | Epsilon 0.4279
Seed 6 | Episode 96 | Reward -300.00 | Epsilon 0.4241
Seed 6 | Episode 97 | Reward -300.00 | Epsilon 0.4203
Seed 6 | Episode 98 | Reward -300.00 | Epsilon 0.4165
Seed 6 | Episode 99 | Reward -300.00 | Epsilon 0.4128
Seed 6 | Episode 100 | Reward -300.00 | Epsilon 0.4091
Seed 6 | Episode 101 | Reward -300.00 | Epsilon 0.4054
Seed 6 | Episode 102 | Reward -300.00 | Epsilon 0.4018
Seed 6 | Episode 103 | Reward -300.00 | Epsilon 0.3982
Seed 6 | Episode 104 | Reward -300.00 | Epsilon 0.3946
Seed 6 | Episode 105 | Reward -300.00 | Epsilon 0.3911
Seed 6 | Episode 106 | Reward -300.00 | Epsilon 0.3876
Seed 6 | Episode 107 | Reward -300.00 | Epsilon 0.3841
